Instance_OCID,Instance Name,Shape,OCPUs,Memory in GBs,Private IPs,Custom Image OCID,Subnets,Availability Domain,Boot Volume Type,Network Type,Remote Data Volume Type
ocid1.instance.oc1.iad.anuwcljso2vpvqictzszchzuajuyzu3zaxucv5vdndd62cjpxe62yxprp5ia,linux_instance,VM.Standard.E4.Flex,1.0,2.0,['10.0.0.192'],ocid1.image.oc1.iad.aaaaaaaa62lfnz7psxavwjz27ekwhzosxxgizuzfrzqhygtnrc2suott5q7q,['ocid1.subnet.oc1.iad.aaaaaaaaav2jkvuks7w24ogoei4rj6tbhrspd4zoolloci5eshcmp4zxdoyq'],HIRH:US-ASHBURN-AD-1,PARAVIRTUALIZED,PARAVIRTUALIZED,PARAVIRTUALIZED
ocid1.instance.oc1.iad.anuwcljso2vpvqicflx6eoce2kcpnwujehfwe5eyo4cfw7btabncyszphifq,sample_instance,VM.Standard.A1.Flex,1.0,6.0,['10.0.0.54'],ocid1.image.oc1.iad.aaaaaaaan2g3dp5bcdmmcqnu7lnv2cllnjg2c5ovmeeucx2ytxhfig6vyzyq,['ocid1.subnet.oc1.iad.aaaaaaaaav2jkvuks7w24ogoei4rj6tbhrspd4zoolloci5eshcmp4zxdoyq'],HIRH:US-ASHBURN-AD-1,PARAVIRTUALIZED,PARAVIRTUALIZED,PARAVIRTUALIZED
